영상,No,구종,구속,IVB(cm),HB(cm),회전수,익스텐션(m),릴리스H(m),릴리스S(m),회전축
📹 있음,1,-,151.6,58.7,23.2,2352,1.91,1.87,0.48,12:45
❌ 없음,2,-,152.5,48.5,29,2376,1.63,1.84,0.39,1:00
❌ 없음,3,-,152.6,63.2,18.5,2473,1.65,1.85,0.31,12:30
❌ 없음,4,Fastball,149.3,56.4,25.4,2359,2.06,1.79,0.58,12:45
📹 있음,5,Fastball,150.6,46.5,21.8,2380,2.02,1.79,0.52,12:45
📹 있음,6,Sinker,148.6,41.1,32.7,2199,1.99,1.77,0.59,1:15
📹 있음,7,Sinker,148.1,42.4,32.1,2165,2.02,1.75,0.55,1:15
📹 있음,8,Cutter,140.8,20.2,-1,2435,1.88,1.72,0.65,12:00
📹 있음,9,Cutter,140.1,19.1,-4.9,2326,1.87,1.72,0.66,11:30
📹 있음,10,Fastball,152,56.2,19,2408,2,1.77,0.57,12:30
📹 있음,11,ChangeUp,138,33.5,33.8,1932,2.02,1.72,0.65,1:30
📹 있음,12,ChangeUp,136,39,31.8,1870,1.95,1.74,0.64,1:15
📹 있음,13,Fastball,150.9,60.2,10.9,2488,2.08,1.77,0.56,12:15
📹 있음,14,Sweeper,127.7,-14.6,-36.7,2529,1.78,1.71,0.58,8:15
📹 있음,15,Sweeper,129.8,-8.3,-25.8,2614,1.59,1.72,0.6,8:30
📹 있음,16,Sweeper,128.5,-5.9,-24.9,2571,1.67,1.69,0.62,8:30
📹 있음,17,Fastball,150.5,51.9,13.3,2463,2.01,1.71,0.59,12:30
📹 있음,18,Fastball,150.1,57.3,17.5,2405,1.98,1.74,0.54,12:30
📹 있음,19,Curveball,124.9,-39,-27.9,2793,1.63,1.72,0.57,7:15
❌ 없음,20,Curveball,124,-44.9,-27.4,2693,1.57,1.71,0.56,7:00
📹 있음,21,Curveball,126.7,-36,-19.6,2702,1.81,1.74,0.54,7:00
📹 있음,22,Fastball,151.8,63.8,3.9,2437,2.04,1.75,0.49,12:00
📹 있음,23,Cutter,139.5,10.2,-10.3,2308,1.86,1.71,0.6,10:30
📹 있음,24,ChangeUp,136.8,24.4,43.7,1917,2.03,1.7,0.61,2:00
📹 있음,25,Fastball,151.7,58.9,10.8,2337,1.97,1.76,0.54,12:15
📹 있음,26,Curveball,127.8,-26.2,-27.5,2627,1.77,1.73,0.54,7:30
📹 있음,27,Sweeper,128.4,-4.3,-41.4,2417,1.77,1.71,0.55,8:45
❌ 없음,28,Fastball,152.3,55.5,17.1,2394,2.07,1.77,0.45,12:30
